short,name,domain
so,Stack Overflow,stackoverflow.com
sf,Server Fault,serverfault.com
su,Super User,superuser.com
mse,Meta Stack Exchange,meta.stackexchange.com
wa,Web Applications,webapps.stackexchange.com
wam,Web Applications Meta,meta.webapps.stackexchange.com
a,Arqade,gaming.stackexchange.com
am,Arqade Meta,meta.gaming.stackexchange.com
w,Webmasters,webmasters.stackexchange.com
wm,Webmasters Meta,meta.webmasters.stackexchange.com
sea,Seasoned Advice,cooking.stackexchange.com
seam,Seasoned Advice Meta,meta.cooking.stackexchange.com
gd,Game Development,gamedev.stackexchange.com
gdm,Game Development Meta,meta.gamedev.stackexchange.com
pg,Photography,photo.stackexchange.com
pgm,Photography Meta,meta.photo.stackexchange.com
cv,Cross Validated,stats.stackexchange.com
cvm,Cross Validated Meta,meta.stats.stackexchange.com
math,Mathematics,math.stackexchange.com
mathm,Mathematics Meta,meta.math.stackexchange.com
hi,Home Improvement,diy.stackexchange.com
him,Home Improvement Meta,meta.diy.stackexchange.com
msu,Meta Super User,meta.superuser.com
msf,Meta Server Fault,meta.serverfault.com
gis,Geographic Information Systems,gis.stackexchange.com
gism,Geographic Information Systems Meta,meta.gis.stackexchange.com
t,TeX - LaTeX,tex.stackexchange.com
tm,TeX - LaTeX Meta,meta.tex.stackexchange.com
au,Ask Ubuntu,askubuntu.com
aum,Ask Ubuntu Meta,meta.askubuntu.com
money,Personal Finance & Money,money.stackexchange.com
moneym,Personal Finance & Money Meta,meta.money.stackexchange.com
elu,English Language & Usage,english.stackexchange.com
elum,English Language & Usage Meta,meta.english.stackexchange.com
sa,Stack Apps,stackapps.com
ux,User Experience,ux.stackexchange.com
uxm,User Experience Meta,meta.ux.stackexchange.com
ul,Unix & Linux,unix.stackexchange.com
ulm,Unix & Linux Meta,meta.unix.stackexchange.com
wp,WordPress Development,wordpress.stackexchange.com
wpm,WordPress Development Meta,meta.wordpress.stackexchange.com
tcs,Theoretical Computer Science,cstheory.stackexchange.com
tcsm,Theoretical Computer Science Meta,meta.cstheory.stackexchange.com
ad,Ask Different,apple.stackexchange.com
adm,Ask Different Meta,meta.apple.stackexchange.com
rpg,Role-playing Games,rpg.stackexchange.com
rpgm,Role-playing Games Meta,meta.rpg.stackexchange.com
b,Bicycles,bicycles.stackexchange.com
bm,Bicycles Meta,meta.bicycles.stackexchange.com
se,Software Engineering,softwareengineering.stackexchange.com
sem,Software Engineering Meta,meta.softwareengineering.stackexchange.com
ee,Electrical Engineering,electronics.stackexchange.com
eem,Electrical Engineering Meta,meta.electronics.stackexchange.com
ae,Android Enthusiasts,android.stackexchange.com
aem,Android Enthusiasts Meta,meta.android.stackexchange.com
bg,Board & Card Games,boardgames.stackexchange.com
bgm,Board & Card Games Meta,meta.boardgames.stackexchange.com
phy,Physics,physics.stackexchange.com
phym,Physics Meta,meta.physics.stackexchange.com
hb,Homebrewing,homebrew.stackexchange.com
