aider-chat	aider
chatblade	chatblade
gpt_engineer	gpt-engineer
gptui	gptui
huggingface_hub	huggingface
litellm	litellm
llm	llm
open-interpreter	open-interpreter
oterm	oterm
pytest	Geeknote
aliyundrive-webdav	aliyundrive-webdav
meson	meson
pyassimp	assimp
cppman	cppman
athenacli	athenacli
aws-cdk-lib	aws-cdk
awscli	awscli
azure-cli	azure-cli
linode-cli	linode-cli
ovhcli	ovhcli
qingcloud-cli	qingcloud-cli
tccli	tccli
ansible	ansible
pyinfra	pyinfra
s3cmd	s3cmd
s4cmd	s4cmd
saws	saws
jrnl	jrnl
pocker	pocker
kube-shell	kube-shell
hexabyte	hexabyte
csvkit	csvclean|csvcut|csvformat|csvgrep|csvjoin|csvjson|csvlook|csvpy|csvsort|csvsql|csvstack|csvstat|in2csv|sql2csv
visidata	visidata
jc	jc
jellex	jellex
docutils	docutils
goose3	goose3
trzsz	trzsz
unidecode	unidecode
dolphie	dolphie
houseplant	houseplant
iredis	iredis
mssql-cli	mssql-cli
sqlfluff	sqlfluff
mycli	mycli
pgcli	pgcli
vcli	vcli
litecli	litecli
sphinx	sphinx
anidbcli	anidbcli
typeinc	typeinc
bkp	bkp
lfm	lfm
ranger-fm	ranger
diffoscope	diffoscope
magika	magika
rsyncy	rsyncy
trash-cli	trash-cli
moneyterm	moneyterm
fonttools	fonttools
python-openstackclient	python-openstackclient
gcalcli	gcalcli
kanban-tui	kanban-tui
khal	khal
black	black
bowler	bowler
click-man	click-man
co-op-translator	co-op-translator
cookiecutter	cookiecutter
copier	copier
doit	doit
flit	flit
hatch	hatch
howdoi	howdoi
invoke	invoke
isort	isort
marimo	marimo
MonkeyType	monkeytype
mypy	mypy
norwegianblue	norwegianblue
pdm	pdm
prospector	prospector
Pygments	pygments
pylint	pylint
pyspark	pyspark
pytest	pytest
python-lsp-server	python-lsp-server
pytype	pytype
rebound-cli	rebound-cli
rebound	rebound
scons	scons
trypackage	try
twine	twine
uv	uv
virtualenv	virtualenv
vulture	vulture
wemake-python-styleguide	wemake-python-styleguide
liblinear-official	liblinear
flake8	flake8
ruff	ruff
yapf	yapf
toolong	toolong
mackup	mackup
frogmouth	frogmouth
minify	minify
borgbackup	borg
datasette	datasette
mcpm	mcpm.sh
papis	papis
percol	percol
rexi	rexi
tempy	tempy
thefuck	thefuck
asciinema	asciinema
beets	beets
bili_douyin_xhs_uploader	bili_douyin_xhs_uploader
castero	castero
doitlive	doitlive
gallery-dl	gallery-dl
icloudpd	icloudpd
mystmd	mystmd
ocrmypdf	ocrmypdf
pdfminer	pdfminer
pspdfutils	pspdfutils
pysentation	pysentation
spotui	spotui
video-to-ascii	video-to-ascii
yewtube	yewtube
deepl	deepl
jieba	jieba
nltk	nltk
pypinyin	pypinyin
duckduckgo_search	duckduckgo_search
magic-wormhole	magic-wormhole
pingtop	pingtop
shodan	shodan
speedtest-cli	speedtest-cli
tewi-transmission	tewi
you-get	you-get
youtube-dl	youtube-dl
yt-dlp	yt-dlp
zigpy-cli	zigpy-cli
zoomeye	zoomeye
glances	glances
nvitop	nvitop
pgtree	pgtree
s-tui	s-tui
tiptop	tiptop
cfn-lint	cfn-lint
flameshow	flameshow
pyfunky	funky
jupyterlab	jupyterlab
kb-manager	kb
keep	keep
terminal_velocity	terminal_velocity
tinboard	tinboard
ulp	ulp
conan	conan
pipenv	pipenv
httpstat	httpstat
bbcli	bbcli
haxor-news	haxor-news
pqviewer	pqviewer
matplotlib	matplotlib
numpy	numpy
scipy	scipy
dvc	dvc
mercurial	mercurial
bzr	bzr
gitifyhg	gitifyhg
lefthook	lefthook
pre-commit	pre-commit
bcrypt	bcrypt
checkov	checkov
dnstwist	dnstwist
pip-audit	pip-audit
scapy	scapy
yubikey-manager	yubikey-manager
xonsh	xonsh
glance	glance
scrapy	scrapy
sherlock	sherlock
fnug	fnug
guake	guake
kanban-python	kanban-python
procmux	procmux
snowmachine	snowmachine
spiel	spiel
terminaltexteffects	terminaltexteffects
tmuxp	tmuxp
py-spy	py-spy
blacksheep-cli	blacksheep-cli
blacksheep	blacksheep
buku	buku
httpie	httpie
httpx[cli]	httpx
trafilatura	trafilatura
minio	minio
ngxtop	ngxtop
Mako	mako
mkdocs	mkdocs
