helix	helix
hx	helix
nvim	nvim
micro	micro
sk	skim
rg	rg
fzf	fzf
qrencode	qrencode
qr	qrencode
tokei	tokei
osqueryi	osquery
ismc	ismc
gotop	gotop
mirrord	mirrord
btm	bottom
proot	proot
zenith	zenith
fastfetch	fastfetch
procs	procs
sqlite3	sqlite3
ws4sqlite	ws4sqlite
mawk	mawk
go	go
gofmt	go
java	java
javac	java
kotlin	kotlin
kotlinc	kotlin
julia	julia
groovy	groovy
lua	lua
luac	lua
scala	scala
scaladoc	scala
zig	zig
python	python
python3	python
pip	python
pip3	python
maven	maven
mvn	maven
mvnd	mvnd
mybatis_migrations	mybatis_migrations
migrate	mybatis_migrations
neo4j_migrations	neo4j_migrations
kobweb	kobweb
mulefd	mulefd
grails	grails
quarkus	quarkus
sbt	sbt
gaiden	gaiden
mcs	mcs
visualvm	visualvm
skeletal	skeletal
ant	ant
layrry	layrry
ki	ki
infrastructor	infrastructor
jbake	jbake
ktx	ktx
hadoop	hadoop
bpipe	bpipe
schemacrawler	schemacrawler
connor	connor
concurnas	concurnas
conc	concurnas
kscript	kscript
toolkit	toolkit
pomchecker	pomchecker
flink	flink
btrace	btrace
karaf	karaf
doctoolchain	doctoolchain
activemq	activemq
ballerina	ballerina
bal	ballerina
gradle	gradle
mn	micronaut
micronaut	micronaut
pierrot	pierrot
groovyserv	groovyserv
groovyserver	groovyserv
jmeter	jmeter
rclone	rclone
terraform	terraform
wasmer	wasmer
wasmtime	wasmtime
jco	jco
lazygit	lazygit
gix	gix
ein	gix
bit	bit
jj	jj
gitleaks	gitleaks
tig	tig
gitui	gitui
shtris	shtris
act_runner	act_runner
tea	tea
goreleaser	goreleaser
gitea	gitea
soft	soft-serve
hurl	hurl
hurlfmt	hurl
lazydocker	lazydocker
bwrap	bwrap
syft	syft
pandoc	pandoc
sd	sd
qpdf	qpdf
magick	magick
vhs	vhs
cwebp	cwebp
pdfcpu	pdfcpu
ffmpeg	ffmpeg
agg	agg
termsvg	termsvg
upx	upx
etcd	etcd
etcdctl	etcd
etcdutl	etcd
usql	usql
lazysql	lazysql
hyperfine	hyperfine
ffuf	ffuf
kind	kind
k3d	k3d
helm	helm
kubectx	kubectx
minikube	minikube
busybox	busybox
7zz	7zz
7za	7za
7z	7za
zstd	zstd
zsh	zsh
difft	difft
bat	bat
termscp	termscp
fd	fd
ff	fd
smartctl	smartctl
duf	duf
ncdu	ncdu
gdu	gdu
du	dust
dust	dust
dua	dua
raku	raku
perl	perl
xsv	xsv
mlr	miller
trdsql	trdsql
tmux	tmux
gum	gum
zellij	zellij
hledger	hledger
chatgpt	chatgpt
whispercpp	whispercpp
conda	miniconda
gosop	gosop
nmap	nmap
lynis	lynis
ssl	openssl
openssl	openssl
easyrsa	easyrsa
rustscan	rustscan
grype	grype
ezcheck	ezcheck
ncat	ncat
nping	nping
sodium	sodium
cfssl	cfssl
skate	skate
kyanos	kyanos
glow	glow
mermaid-ascii	mermaid-ascii
gcloud	gcloud
ibmcloud	ibmcloud
doctl	doctl
hcloud	hcloud
qshell	qshell
ucloud	ucloud
aliyun	aliyun
koocli	koocli
jq	jq
yq	yq
dasel	dasel
grex	grex
mysql	mysql
broot	broot
exa	exa
eza	eza
lf	lf
yazi	yazi
spf	superfile
lsd	lsd
ttyd	ttyd
node	node
npm	node
npx	node
deno	deno
bun	bun
bunx	bun
doggo	doggo
socat	socat
termshark	termshark
websocat	websocat
tunasync	tunasync
tunasynctl	tunasync
tcping	tcping
frp	frp
frps	frp
frpc	frp
nexttrace	nexttrace
curl	curl
globalping	globalping
traceroute	traceroute
nali	nali
gost	gost
brook	brook
aria	aria2
aria2	aria2
bandwhich	bandwhich
firework	firework-rs
ascii-image-converter	ascii-image-converter
asciigraph	asciigraph
osv-scanner	osv-scanner
caddy	caddy
elvish	elvish
nush	nushell
xonsh	xonsh
oh-my-posh	oh-my-posh
starship	starship
scorecard	scorecard
trafilatura	trafilatura
tz	tz
