0	#000000	0,0,0	0,0,0	Black
1	#800000	128,0,0	0,100,25	Maroon
2	#008000	0,128,0	120,100,25	Green
3	#808000	128,128,0	60,100,25	Olive
4	#000080	0,0,128	240,100,25	Navy
5	#800080	128,0,128	300,100,25	Purple
6	#008080	0,128,128	180,100,25	Teal
7	#c0c0c0	192,192,192	0,0,75	Silver
8	#808080	128,128,128	0,0,50	Grey
9	#ff0000	255,0,0	0,100,50	Red
10	#00ff00	0,255,0	120,100,50	Lime
11	#ffff00	255,255,0	60,100,50	Yellow
12	#0000ff	0,0,255	240,100,50	Blue
13	#ff00ff	255,0,255	300,100,50	Fuchsia
14	#00ffff	0,255,255	180,100,50	Aqua
15	#ffffff	255,255,255	0,0,100	White
16	#000000	0,0,0	0,0,0	Grey0
17	#00005f	0,0,95	240,100,18	NavyBlue
18	#000087	0,0,135	240,100,26	DarkBlue
19	#0000af	0,0,175	240,100,34	Blue3
20	#0000d7	0,0,215	240,100,42	Blue3
21	#0000ff	0,0,255	240,100,50	Blue1
22	#005f00	0,95,0	120,100,18	DarkGreen
23	#005f5f	0,95,95	180,100,18	DeepSkyBlue4
24	#005f87	0,95,135	198,100,26	DeepSkyBlue4
25	#005faf	0,95,175	207,100,34	DeepSkyBlue4
26	#005fd7	0,95,215	213,100,42	DodgerBlue3
27	#005fff	0,95,255	218,100,50	DodgerBlue2
28	#008700	0,135,0	120,100,26	Green4
29	#00875f	0,135,95	162,100,26	SpringGreen4
30	#008787	0,135,135	180,100,26	Turquoise4
31	#0087af	0,135,175	194,100,34	DeepSkyBlue3
32	#0087d7	0,135,215	202,100,42	DeepSkyBlue3
33	#0087ff	0,135,255	208,100,50	DodgerBlue1
34	#00af00	0,175,0	120,100,34	Green3
35	#00af5f	0,175,95	153,100,34	SpringGreen3
36	#00af87	0,175,135	166,100,34	DarkCyan
37	#00afaf	0,175,175	180,100,34	LightSeaGreen
38	#00afd7	0,175,215	191,100,42	DeepSkyBlue2
39	#00afff	0,175,255	199,100,50	DeepSkyBlue1
40	#00d700	0,215,0	120,100,42	Green3
41	#00d75f	0,215,95	147,100,42	SpringGreen3
42	#00d787	0,215,135	158,100,42	SpringGreen2
43	#00d7af	0,215,175	169,100,42	Cyan3
44	#00d7d7	0,215,215	180,100,42	DarkTurquoise
45	#00d7ff	0,215,255	189,100,50	Turquoise2
46	#00ff00	0,255,0	120,100,50	Green1
47	#00ff5f	0,255,95	142,100,50	SpringGreen2
48	#00ff87	0,255,135	152,100,50	SpringGreen1
49	#00ffaf	0,255,175	161,100,50	MediumSpringGreen
50	#00ffd7	0,255,215	171,100,50	Cyan2
51	#00ffff	0,255,255	180,100,50	Cyan1
52	#5f0000	95,0,0	0,100,18	DarkRed
53	#5f005f	95,0,95	300,100,18	DeepPink4
54	#5f0087	95,0,135	282,100,26	Purple4
55	#5f00af	95,0,175	273,100,34	Purple4
56	#5f00d7	95,0,215	267,100,42	Purple3
57	#5f00ff	95,0,255	262,100,50	BlueViolet
58	#5f5f00	95,95,0	60,100,18	Orange4
59	#5f5f5f	95,95,95	0,0,37	Grey37
60	#5f5f87	95,95,135	240,17,45	MediumPurple4
61	#5f5faf	95,95,175	240,33,52	SlateBlue3
62	#5f5fd7	95,95,215	240,60,60	SlateBlue3
63	#5f5fff	95,95,255	240,100,68	RoyalBlue1
64	#5f8700	95,135,0	78,100,26	Chartreuse4
65	#5f875f	95,135,95	120,17,45	DarkSeaGreen4
66	#5f8787	95,135,135	180,17,45	PaleTurquoise4
67	#5f87af	95,135,175	210,33,52	SteelBlue
68	#5f87d7	95,135,215	220,60,60	SteelBlue3
69	#5f87ff	95,135,255	225,100,68	CornflowerBlue
70	#5faf00	95,175,0	87,100,34	Chartreuse3
71	#5faf5f	95,175,95	120,33,52	DarkSeaGreen4
72	#5faf87	95,175,135	150,33,52	CadetBlue
73	#5fafaf	95,175,175	180,33,52	CadetBlue
74	#5fafd7	95,175,215	200,60,60	SkyBlue3
75	#5fafff	95,175,255	210,100,68	SteelBlue1
76	#5fd700	95,215,0	93,100,42	Chartreuse3
77	#5fd75f	95,215,95	120,60,60	PaleGreen3
78	#5fd787	95,215,135	140,60,60	SeaGreen3
79	#5fd7af	95,215,175	160,60,60	Aquamarine3
80	#5fd7d7	95,215,215	180,60,60	MediumTurquoise
81	#5fd7ff	95,215,255	195,100,68	SteelBlue1
82	#5fff00	95,255,0	98,100,50	Chartreuse2
83	#5fff5f	95,255,95	120,100,68	SeaGreen2
84	#5fff87	95,255,135	135,100,68	SeaGreen1
85	#5fffaf	95,255,175	150,100,68	SeaGreen1
86	#5fffd7	95,255,215	165,100,68	Aquamarine1
87	#5fffff	95,255,255	180,100,68	DarkSlateGray2
88	#870000	135,0,0	0,100,26	DarkRed
89	#87005f	135,0,95	318,100,26	DeepPink4
90	#870087	135,0,135	300,100,26	DarkMagenta
91	#8700af	135,0,175	286,100,34	DarkMagenta
92	#8700d7	135,0,215	278,100,42	DarkViolet
93	#8700ff	135,0,255	272,100,50	Purple
94	#875f00	135,95,0	42,100,26	Orange4
95	#875f5f	135,95,95	0,17,45	LightPink4
96	#875f87	135,95,135	300,17,45	Plum4
97	#875faf	135,95,175	270,33,52	MediumPurple3
98	#875fd7	135,95,215	260,60,60	MediumPurple3
99	#875fff	135,95,255	255,100,68	SlateBlue1
100	#878700	135,135,0	60,100,26	Yellow4
101	#87875f	135,135,95	60,17,45	Wheat4
102	#878787	135,135,135	0,0,52	Grey53
103	#8787af	135,135,175	240,20,60	LightSlateGrey
104	#8787d7	135,135,215	240,50,68	MediumPurple
105	#8787ff	135,135,255	240,100,76	LightSlateBlue
106	#87af00	135,175,0	74,100,34	Yellow4
107	#87af5f	135,175,95	90,33,52	DarkOliveGreen3
108	#87af87	135,175,135	120,20,60	DarkSeaGreen
109	#87afaf	135,175,175	180,20,60	LightSkyBlue3
110	#87afd7	135,175,215	210,50,68	LightSkyBlue3
111	#87afff	135,175,255	220,100,76	SkyBlue2
112	#87d700	135,215,0	82,100,42	Chartreuse2
113	#87d75f	135,215,95	100,60,60	DarkOliveGreen3
114	#87d787	135,215,135	120,50,68	PaleGreen3
115	#87d7af	135,215,175	150,50,68	DarkSeaGreen3
116	#87d7d7	135,215,215	180,50,68	DarkSlateGray3
117	#87d7ff	135,215,255	200,100,76	SkyBlue1
118	#87ff00	135,255,0	88,100,50	Chartreuse1
119	#87ff5f	135,255,95	105,100,68	LightGreen
120	#87ff87	135,255,135	120,100,76	LightGreen
121	#87ffaf	135,255,175	140,100,76	PaleGreen1
122	#87ffd7	135,255,215	160,100,76	Aquamarine1
123	#87ffff	135,255,255	180,100,76	DarkSlateGray1
124	#af0000	175,0,0	0,100,34	Red3
125	#af005f	175,0,95	327,100,34	DeepPink4
126	#af0087	175,0,135	314,100,34	MediumVioletRed
127	#af00af	175,0,175	300,100,34	Magenta3
128	#af00d7	175,0,215	289,100,42	DarkViolet
129	#af00ff	175,0,255	281,100,50	Purple
130	#af5f00	175,95,0	33,100,34	DarkOrange3
131	#af5f5f	175,95,95	0,33,52	IndianRed
132	#af5f87	175,95,135	330,33,52	HotPink3
133	#af5faf	175,95,175	300,33,52	MediumOrchid3
134	#af5fd7	175,95,215	280,60,60	MediumOrchid
135	#af5fff	175,95,255	270,100,68	MediumPurple2
136	#af8700	175,135,0	46,100,34	DarkGoldenrod
137	#af875f	175,135,95	30,33,52	LightSalmon3
138	#af8787	175,135,135	0,20,60	RosyBrown
139	#af87af	175,135,175	300,20,60	Grey63
140	#af87d7	175,135,215	270,50,68	MediumPurple2
141	#af87ff	175,135,255	260,100,76	MediumPurple1
142	#afaf00	175,175,0	60,100,34	Gold3
143	#afaf5f	175,175,95	60,33,52	DarkKhaki
